  
       XFOIL         Version 6.99
  
 Calculated polar for: airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   6.000   1.2255   0.03345   0.02535  -0.0926   0.3672   0.5674
   7.000   1.2880   0.03327   0.02554  -0.0852   0.3521   0.5834
   8.000   1.3464   0.03448   0.02711  -0.0781   0.3392   0.5983
   9.000   1.4200   0.03429   0.02706  -0.0732   0.3251   0.6150
  10.000   1.4643   0.03305   0.02594  -0.0630   0.3088   0.6298
  11.000   1.4452   0.03323   0.02655  -0.0453   0.2905   0.6412
   9.100   1.4158   0.03436   0.02719  -0.0707   0.3239   0.6162
   9.200   1.4135   0.03445   0.02734  -0.0686   0.3225   0.6175
   9.500   1.4167   0.03445   0.02744  -0.0640   0.3178   0.6215
   9.600   1.4213   0.03427   0.02728  -0.0630   0.3162   0.6229
   9.800   1.4367   0.03372   0.02671  -0.0620   0.3129   0.6260
  10.000   1.4643   0.03305   0.02594  -0.0630   0.3088   0.6298
  10.200   1.4487   0.03350   0.02659  -0.0575   0.3062   0.6316
  10.400   1.4387   0.03386   0.02709  -0.0531   0.3028   0.6336
  10.600   1.4368   0.03388   0.02718  -0.0499   0.2989   0.6361
  10.800   1.4446   0.03330   0.02657  -0.0479   0.2946   0.6388
   9.000   1.4200   0.03429   0.02706  -0.0732   0.3251   0.6150
   9.500   1.4167   0.03445   0.02744  -0.0640   0.3178   0.6215
   9.600   1.4213   0.03427   0.02728  -0.0630   0.3162   0.6229
  10.000   1.4643   0.03305   0.02593  -0.0630   0.3088   0.6298
  10.200   1.4487   0.03350   0.02659  -0.0575   0.3062   0.6316
  10.400   1.4387   0.03386   0.02709  -0.0531   0.3028   0.6336
  10.600   1.4368   0.03388   0.02718  -0.0499   0.2989   0.6361
  10.800   1.4446   0.03330   0.02657  -0.0479   0.2946   0.6388
  11.000   1.4452   0.03323   0.02655  -0.0453   0.2905   0.6412
  11.200   1.4322   0.03401   0.02756  -0.0412   0.2855   0.6429
  11.400   1.4283   0.03409   0.02772  -0.0382   0.2790   0.6449
  11.600   1.4230   0.03467   0.02844  -0.0355   0.2711   0.6469
  11.800   1.4175   0.03521   0.02905  -0.0328   0.2584   0.6492
  12.000   1.4087   0.03620   0.03002  -0.0301   0.2344   0.6513
  12.200   1.3864   0.03836   0.03192  -0.0267   0.1981   0.6528
  12.400   1.3572   0.04179   0.03515  -0.0236   0.1690   0.6536
  12.600   1.3255   0.04605   0.03931  -0.0213   0.1482   0.6543
  12.800   1.2942   0.05087   0.04412  -0.0198   0.1348   0.6550
  13.000   1.2620   0.05639   0.04970  -0.0193   0.1264   0.6554
  13.000   1.2620   0.05639   0.04970  -0.0193   0.1264   0.6554
  13.200   1.2330   0.06226   0.05568  -0.0198   0.1221   0.6559
  13.400   1.1996   0.06935   0.06290  -0.0213   0.1186   0.6559
  13.600   1.1673   0.07661   0.07026  -0.0231   0.1155   0.6561
