---
G01A11, airfoil/1gen/G01A11.txt 71.21192625
G02A15, airfoil/2gen/G02A15.txt 72.23
G03A1, airfoil/3gen/G03A1.txt 72.999
G04A10, airfoil/4gen/G04A10.txt 74.207
G05A4, airfoil/5gen/G05A4.txt 75.92977304
G06A19, airfoil/6gen/G06A19.txt 76.26626316
G07A13, airfoil/7gen/G07A13.txt 77.31031538
G08A18, airfoil/8gen/G08A18.txt 78.17557395
G09A5, airfoil/9gen/G09A5.txt 80.356564365
G10A6, airfoil/10gen/G10A6.txt 80.787
G11A9, airfoil/11gen/G11A9.txt 81.767
G12A4, airfoil/12gen/G12A4.txt 83.683
G13A13, airfoil/13gen/G13A13.txt 84.63243024
G14A15, airfoil/14gen/G14A15.txt 89.4463249
G14A15, airfoil/14gen/G14A15.txt 89.4463249
G14A15, airfoil/14gen/G14A15.txt 89.4463249
G17A11, airfoil/17gen/G17A11.txt 90.205
G17A11, airfoil/17gen/G17A11.txt 90.205
G17A11, airfoil/17gen/G17A11.txt 90.205
G20A14, airfoil/20gen/G20A14.txt 91.2609484
G21A2, airfoil/21gen/G21A2.txt 93.688
G21A2, airfoil/21gen/G21A2.txt 93.688
G23A10, airfoil/23gen/G23A10.txt 94.44080547
G24A12, airfoil/24gen/G24A12.txt 95.945
G25A8, airfoil/25gen/G25A8.txt 96.489
G26A7, airfoil/26gen/G26A7.txt 97.991
G27A1, airfoil/27gen/G27A1.txt 98.04880007999999
G28A3, airfoil/28gen/G28A3.txt 100.54
G28A3, airfoil/28gen/G28A3.txt 100.54
G28A3, airfoil/28gen/G28A3.txt 100.54
G28A3, airfoil/28gen/G28A3.txt 100.54
G28A3, airfoil/28gen/G28A3.txt 100.54
G33A1, airfoil/33gen/G33A1.txt 101.119
G34A6, airfoil/34gen/G34A6.txt 102.168
G34A6, airfoil/34gen/G34A6.txt 102.168
G34A6, airfoil/34gen/G34A6.txt 102.168
G37A3, airfoil/37gen/G37A3.txt 102.832
G38A4, airfoil/38gen/G38A4.txt 103.693613655
G39A11, airfoil/39gen/G39A11.txt 104.035
G40A15, airfoil/40gen/G40A15.txt 105.34
G40A15, airfoil/40gen/G40A15.txt 105.34
G42A15, airfoil/42gen/G42A15.txt 105.985
G43A14, airfoil/43gen/G43A14.txt 107.409859125
G44A6, airfoil/44gen/G44A6.txt 107.86372625
G45A13, airfoil/45gen/G45A13.txt 108.6389568
G45A13, airfoil/45gen/G45A13.txt 108.6389568
G47A5, airfoil/47gen/G47A5.txt 112.161974785
G47A5, airfoil/47gen/G47A5.txt 112.161974785
G47A5, airfoil/47gen/G47A5.txt 112.161974785
G47A5, airfoil/47gen/G47A5.txt 112.161974785
G47A5, airfoil/47gen/G47A5.txt 112.161974785
G52A15, airfoil/52gen/G52A15.txt 113.05040470499999
G53A18, airfoil/53gen/G53A18.txt 113.22857427999999
G54A17, airfoil/54gen/G54A17.txt 113.28931806499999
G55A2, airfoil/55gen/G55A2.txt 114.23010235
G56A14, airfoil/56gen/G56A14.txt 114.8914416
G57A18, airfoil/57gen/G57A18.txt 116.74269625
G58A20, airfoil/58gen/G58A20.txt 116.902322365
G58A20, airfoil/58gen/G58A20.txt 116.902322365
G58A20, airfoil/58gen/G58A20.txt 116.902322365
G58A20, airfoil/58gen/G58A20.txt 116.902322365
G58A20, airfoil/58gen/G58A20.txt 116.902322365
G58A20, airfoil/58gen/G58A20.txt 116.902322365
G64A19, airfoil/64gen/G64A19.txt 118.65465354
G65A8, airfoil/65gen/G65A8.txt 119.274240995
G66A16, airfoil/66gen/G66A16.txt 119.28714624
G66A16, airfoil/66gen/G66A16.txt 119.28714624
G68A10, airfoil/68gen/G68A10.txt 119.97684048
G69A14, airfoil/69gen/G69A14.txt 120.75710295
G70A15, airfoil/70gen/G70A15.txt 122.123
G71A2, airfoil/71gen/G71A2.txt 122.643
G72A20, airfoil/72gen/G72A20.txt 122.72595712
G73A11, airfoil/73gen/G73A11.txt 122.86130041499999
G74A15, airfoil/74gen/G74A15.txt 123.55517544
G75A8, airfoil/75gen/G75A8.txt 123.9579216
G76A20, airfoil/76gen/G76A20.txt 124.114
G76A20, airfoil/76gen/G76A20.txt 124.114
G76A20, airfoil/76gen/G76A20.txt 124.114
G76A20, airfoil/76gen/G76A20.txt 124.114
G80A10, airfoil/80gen/G80A10.txt 124.62821051999998
G80A10, airfoil/80gen/G80A10.txt 124.62821051999998
G80A10, airfoil/80gen/G80A10.txt 124.62821051999998
G80A10, airfoil/80gen/G80A10.txt 124.62821051999998
G80A10, airfoil/80gen/G80A10.txt 124.62821051999998
G85A12, airfoil/85gen/G85A12.txt 125.223
G85A12, airfoil/85gen/G85A12.txt 125.223
G85A12, airfoil/85gen/G85A12.txt 125.223
G85A12, airfoil/85gen/G85A12.txt 125.223
G85A12, airfoil/85gen/G85A12.txt 125.223
G90A18, airfoil/90gen/G90A18.txt 125.486
