  
       XFOIL         Version 6.99
  
 Calculated polar for: G45A16                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3833   0.01578   0.00701  -0.0575   0.5200   0.4145
   0.250   0.4045   0.01583   0.00694  -0.0562   0.5003   0.4176
   0.750   0.4475   0.01599   0.00701  -0.0537   0.4665   0.4253
   1.000   0.4694   0.01612   0.00708  -0.0525   0.4517   0.4294
   1.250   0.4917   0.01629   0.00715  -0.0514   0.4386   0.4335
   1.750   0.5364   0.01651   0.00730  -0.0494   0.4151   0.4413
   2.250   0.5813   0.01683   0.00758  -0.0473   0.3947   0.4512
   2.750   0.6266   0.01716   0.00788  -0.0455   0.3767   0.4621
   3.000   0.6497   0.01736   0.00806  -0.0447   0.3685   0.4682
   3.250   0.6723   0.01756   0.00829  -0.0437   0.3606   0.4750
   3.500   0.6936   0.01770   0.00846  -0.0426   0.3528   0.4824
   3.750   0.7178   0.01798   0.00872  -0.0421   0.3455   0.4919
   4.000   0.7378   0.01810   0.00896  -0.0406   0.3385   0.5026
   4.250   0.7593   0.01828   0.00920  -0.0396   0.3321   0.5157
   4.500   0.7831   0.01856   0.00954  -0.0390   0.3259   0.5327
   4.750   0.8015   0.01867   0.00984  -0.0373   0.3197   0.5555
   5.000   0.8209   0.01882   0.01011  -0.0358   0.3141   0.5884
   5.250   0.8445   0.01910   0.01050  -0.0352   0.3086   0.6373
   5.500   0.8579   0.01909   0.01081  -0.0324   0.3034   0.6913
   5.750   0.8762   0.01905   0.01112  -0.0306   0.2982   0.7735
   6.000   0.9702   0.01980   0.01211  -0.0443   0.2895   1.0000
   6.250   0.9870   0.02013   0.01247  -0.0425   0.2851   1.0000
   6.500   1.0055   0.02048   0.01280  -0.0410   0.2808   1.0000
   6.750   1.0264   0.02088   0.01312  -0.0400   0.2769   1.0000
   7.000   1.0541   0.02151   0.01365  -0.0403   0.2727   1.0000
   7.250   1.0668   0.02186   0.01409  -0.0378   0.2692   1.0000
   7.500   1.0833   0.02226   0.01451  -0.0360   0.2654   1.0000
   7.750   1.1026   0.02268   0.01491  -0.0348   0.2620   1.0000
   8.000   1.1267   0.02319   0.01535  -0.0345   0.2587   1.0000
   8.250   1.1552   0.02394   0.01606  -0.0351   0.2555   1.0000
   8.500   1.1673   0.02442   0.01665  -0.0327   0.2529   1.0000
   8.750   1.1830   0.02495   0.01726  -0.0310   0.2501   1.0000
   9.000   1.2013   0.02550   0.01785  -0.0297   0.2474   1.0000
   9.250   1.2218   0.02604   0.01839  -0.0289   0.2449   1.0000
   9.500   1.2468   0.02665   0.01896  -0.0289   0.2425   1.0000
   9.750   1.2840   0.02769   0.01992  -0.0311   0.2397   1.0000
  10.000   1.2905   0.02826   0.02065  -0.0280   0.2379   1.0000
  10.250   1.2973   0.02889   0.02142  -0.0251   0.2356   1.0000
  10.500   1.3063   0.02949   0.02210  -0.0227   0.2328   1.0000
  10.750   1.3183   0.02996   0.02260  -0.0207   0.2298   1.0000
  11.000   1.3370   0.03033   0.02291  -0.0198   0.2267   1.0000
  11.250   1.3659   0.03112   0.02360  -0.0206   0.2233   1.0000
  11.500   1.3643   0.03187   0.02455  -0.0169   0.2213   1.0000
  11.750   1.3671   0.03273   0.02555  -0.0142   0.2190   1.0000
  12.000   1.3732   0.03356   0.02648  -0.0120   0.2165   1.0000
  12.250   1.3833   0.03426   0.02724  -0.0104   0.2140   1.0000
  12.500   1.3991   0.03483   0.02780  -0.0094   0.2116   1.0000
  12.750   1.4279   0.03529   0.02814  -0.0100   0.2085   1.0000
  13.000   1.4297   0.03650   0.02950  -0.0078   0.2067   1.0000
  13.250   1.4240   0.03789   0.03109  -0.0050   0.2048   1.0000
  13.500   1.4216   0.03930   0.03265  -0.0028   0.2026   1.0000
  13.750   1.4233   0.04052   0.03397  -0.0012   0.2001   1.0000
  14.000   1.4327   0.04132   0.03479  -0.0001   0.1973   1.0000
  14.250   1.4538   0.04163   0.03500   0.0001   0.1944   1.0000
  14.500   1.4595   0.04304   0.03649   0.0011   0.1921   1.0000
  14.750   1.4449   0.04547   0.03915   0.0031   0.1901   1.0000
  15.000   1.4346   0.04789   0.04175   0.0044   0.1879   1.0000
  15.250   1.4307   0.04997   0.04394   0.0052   0.1853   1.0000
  15.500   1.4378   0.05117   0.04517   0.0056   0.1824   1.0000
  15.750   1.4671   0.05075   0.04456   0.0055   0.1787   1.0000
  16.000   1.4407   0.05493   0.04903   0.0062   0.1768   1.0000
  16.250   1.4181   0.05928   0.05362   0.0061   0.1742   1.0000
  16.500   1.4064   0.06285   0.05732   0.0057   0.1712   1.0000
  16.750   1.4152   0.06422   0.05867   0.0054   0.1675   1.0000
  17.000   1.4193   0.06625   0.06070   0.0050   0.1641   1.0000
  17.250   1.3820   0.07348   0.06823   0.0030   0.1614   1.0000
  17.500   1.3548   0.07990   0.07485   0.0008   0.1581   1.0000
  17.750   1.3802   0.07933   0.07412   0.0007   0.1526   1.0000
  18.000   1.3330   0.08895   0.08404  -0.0029   0.1497   1.0000
