  
       XFOIL         Version 6.99
  
 Calculated polar for: G77A9                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   2.500   0.8834   0.02219   0.01413  -0.0814   0.3965   0.9762
   2.750   0.9311   0.02220   0.01413  -0.0857   0.3935   0.9844
   3.000   0.9772   0.02226   0.01417  -0.0898   0.3909   0.9927
   3.250   1.0317   0.02214   0.01398  -0.0957   0.3882   1.0000
   3.500   1.0530   0.02271   0.01454  -0.0950   0.3859   1.0000
   3.750   1.0690   0.02293   0.01487  -0.0930   0.3841   1.0000
   4.000   1.0854   0.02322   0.01525  -0.0912   0.3819   1.0000
   4.250   1.1023   0.02353   0.01563  -0.0894   0.3794   1.0000
   4.500   1.1197   0.02387   0.01604  -0.0878   0.3772   1.0000
   4.750   1.1376   0.02422   0.01644  -0.0862   0.3751   1.0000
   5.000   1.1562   0.02457   0.01682  -0.0848   0.3731   1.0000
   5.250   1.1760   0.02493   0.01719  -0.0836   0.3711   1.0000
   5.500   1.1974   0.02534   0.01759  -0.0828   0.3691   1.0000
   5.750   1.2202   0.02613   0.01834  -0.0824   0.3667   1.0000
   6.000   1.2312   0.02652   0.01890  -0.0795   0.3648   1.0000
   6.250   1.2431   0.02703   0.01955  -0.0769   0.3629   1.0000
   6.500   1.2554   0.02757   0.02022  -0.0744   0.3606   1.0000
   6.750   1.2692   0.02809   0.02083  -0.0722   0.3584   1.0000
   7.000   1.2845   0.02842   0.02121  -0.0702   0.3555   1.0000
   7.250   1.3036   0.02850   0.02127  -0.0688   0.3524   1.0000
   7.500   1.3297   0.02855   0.02122  -0.0687   0.3492   1.0000
   7.750   1.3405   0.02903   0.02178  -0.0660   0.3456   1.0000
   8.000   1.3449   0.02941   0.02231  -0.0620   0.3422   1.0000
   8.250   1.3550   0.02967   0.02266  -0.0590   0.3388   1.0000
   8.500   1.3694   0.02976   0.02277  -0.0568   0.3355   1.0000
   8.750   1.3907   0.02967   0.02263  -0.0558   0.3324   1.0000
   9.000   1.4223   0.02989   0.02272  -0.0568   0.3291   1.0000
   9.250   1.4164   0.03037   0.02341  -0.0510   0.3265   1.0000
   9.500   1.4144   0.03076   0.02396  -0.0460   0.3230   1.0000
   9.750   1.4185   0.03099   0.02428  -0.0420   0.3197   1.0000
  10.000   1.4297   0.03094   0.02424  -0.0392   0.3166   1.0000
  10.250   1.4567   0.03056   0.02375  -0.0391   0.3132   1.0000
  10.500   1.4624   0.03078   0.02401  -0.0355   0.3099   1.0000
  10.750   1.4401   0.03120   0.02461  -0.0269   0.3072   1.0000
  11.000   1.4254   0.03155   0.02508  -0.0198   0.3043   1.0000
  11.250   1.4219   0.03166   0.02526  -0.0147   0.3011   1.0000
  11.500   1.4353   0.03119   0.02472  -0.0122   0.2973   1.0000
  11.750   1.4451   0.03107   0.02457  -0.0094   0.2936   1.0000
  12.000   1.4225   0.03200   0.02571  -0.0022   0.2904   1.0000
  12.250   1.4119   0.03268   0.02652   0.0030   0.2866   1.0000
  12.500   1.4140   0.03289   0.02677   0.0063   0.2827   1.0000
  12.750   1.4299   0.03254   0.02632   0.0080   0.2784   1.0000
  13.000   1.4067   0.03420   0.02822   0.0137   0.2744   1.0000
  13.250   1.3950   0.03546   0.02960   0.0177   0.2693   1.0000
  13.500   1.3991   0.03588   0.03000   0.0200   0.2640   1.0000
