  
       XFOIL         Version 6.99
  
 Calculated polar for: fx84-218                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2906   0.01776   0.01124  -0.0611   0.6522   0.7221
   0.100   0.2935   0.01795   0.01146  -0.0600   0.6492   0.7276
   0.200   0.3002   0.01809   0.01165  -0.0592   0.6466   0.7307
   0.300   0.3089   0.01818   0.01178  -0.0586   0.6445   0.7343
   0.400   0.3190   0.01823   0.01184  -0.0583   0.6426   0.7383
   0.500   0.3298   0.01825   0.01184  -0.0581   0.6410   0.7430
   0.600   0.3411   0.01823   0.01179  -0.0581   0.6395   0.7483
   0.700   0.3531   0.01821   0.01175  -0.0581   0.6382   0.7521
   0.800   0.3657   0.01821   0.01175  -0.0581   0.6370   0.7552
   0.900   0.3787   0.01822   0.01175  -0.0581   0.6359   0.7586
   1.000   0.3921   0.01822   0.01172  -0.0583   0.6349   0.7625
   1.100   0.4055   0.01823   0.01169  -0.0586   0.6338   0.7670
   1.200   0.4123   0.01834   0.01180  -0.0580   0.6316   0.7723
   1.300   0.4146   0.01855   0.01208  -0.0565   0.6286   0.7754
   1.400   0.4206   0.01869   0.01227  -0.0555   0.6261   0.7784
   1.500   0.4289   0.01877   0.01237  -0.0549   0.6240   0.7819
   1.600   0.4384   0.01881   0.01242  -0.0545   0.6222   0.7858
   1.700   0.4490   0.01882   0.01240  -0.0543   0.6206   0.7903
   1.900   0.4727   0.01876   0.01231  -0.0544   0.6179   0.7978
   2.000   0.4855   0.01875   0.01228  -0.0544   0.6167   0.8004
   2.100   0.4987   0.01874   0.01225  -0.0545   0.6156   0.8033
   2.200   0.5125   0.01873   0.01221  -0.0547   0.6145   0.8065
   2.300   0.5255   0.01876   0.01221  -0.0549   0.6132   0.8103
   2.400   0.5239   0.01898   0.01249  -0.0531   0.6100   0.8155
   2.500   0.5274   0.01911   0.01266  -0.0519   0.6073   0.8190
   2.600   0.5336   0.01919   0.01278  -0.0509   0.6050   0.8217
   2.700   0.5419   0.01924   0.01283  -0.0502   0.6031   0.8246
   2.800   0.5516   0.01925   0.01285  -0.0498   0.6014   0.8278
   2.900   0.5627   0.01923   0.01281  -0.0497   0.5999   0.8314
   3.000   0.5752   0.01919   0.01274  -0.0499   0.5985   0.8354
   3.100   0.5888   0.01912   0.01263  -0.0504   0.5972   0.8392
   3.200   0.6022   0.01907   0.01256  -0.0505   0.5960   0.8413
   3.300   0.6163   0.01904   0.01250  -0.0507   0.5948   0.8435
   3.400   0.6279   0.01909   0.01253  -0.0507   0.5933   0.8462
   3.500   0.6240   0.01931   0.01285  -0.0482   0.5902   0.8505
   3.600   0.6261   0.01944   0.01301  -0.0468   0.5876   0.8551
   3.700   0.6323   0.01949   0.01307  -0.0462   0.5852   0.8596
   3.800   0.6396   0.01951   0.01310  -0.0454   0.5833   0.8620
   3.900   0.6488   0.01950   0.01309  -0.0449   0.5816   0.8646
   4.000   0.6601   0.01946   0.01304  -0.0447   0.5801   0.8675
   4.100   0.6731   0.01940   0.01295  -0.0449   0.5786   0.8705
   4.200   0.6868   0.01934   0.01287  -0.0452   0.5773   0.8738
   4.300   0.7018   0.01927   0.01275  -0.0458   0.5760   0.8772
   4.400   0.7175   0.01923   0.01266  -0.0466   0.5747   0.8799
   4.500   0.7164   0.01939   0.01289  -0.0444   0.5723   0.8832
   4.600   0.7131   0.01956   0.01313  -0.0420   0.5694   0.8875
   4.700   0.7152   0.01966   0.01326  -0.0405   0.5669   0.8920
   4.800   0.7206   0.01968   0.01329  -0.0396   0.5647   0.8967
   4.900   0.7292   0.01966   0.01327  -0.0391   0.5628   0.8998
   5.000   0.7404   0.01961   0.01321  -0.0390   0.5611   0.9024
   5.100   0.7537   0.01954   0.01312  -0.0392   0.5596   0.9051
   5.200   0.7684   0.01946   0.01301  -0.0397   0.5582   0.9079
   5.300   0.7841   0.01940   0.01290  -0.0404   0.5568   0.9107
   5.400   0.8005   0.01936   0.01282  -0.0412   0.5554   0.9136
   5.500   0.7981   0.01950   0.01303  -0.0390   0.5529   0.9184
   5.600   0.7944   0.01968   0.01328  -0.0366   0.5501   0.9233
   5.700   0.7949   0.01977   0.01341  -0.0349   0.5475   0.9288
   5.800   0.7994   0.01979   0.01344  -0.0338   0.5453   0.9336
   5.900   0.8127   0.01976   0.01340  -0.0342   0.5432   0.9361
   6.000   0.8285   0.01972   0.01334  -0.0350   0.5415   0.9384
   6.100   0.8459   0.01965   0.01325  -0.0360   0.5398   0.9406
   6.200   0.8648   0.01958   0.01313  -0.0373   0.5383   0.9426
   6.300   0.8845   0.01953   0.01303  -0.0388   0.5367   0.9445
   6.400   0.8895   0.01963   0.01315  -0.0379   0.5345   0.9494
   6.500   0.8924   0.01989   0.01350  -0.0370   0.5313   0.9535
   6.600   0.9001   0.02004   0.01369  -0.0368   0.5284   0.9575
   6.700   0.9105   0.02010   0.01376  -0.0369   0.5261   0.9615
   6.800   0.9249   0.02009   0.01374  -0.0376   0.5239   0.9644
   6.900   0.9458   0.02006   0.01368  -0.0394   0.5218   0.9653
   7.000   0.9678   0.01999   0.01357  -0.0413   0.5200   0.9660
   7.100   0.9906   0.01995   0.01348  -0.0434   0.5182   0.9666
   7.200   1.0101   0.02003   0.01353  -0.0450   0.5162   0.9677
   7.300   1.0149   0.02036   0.01397  -0.0447   0.5128   0.9722
   7.400   1.0228   0.02055   0.01420  -0.0447   0.5099   0.9766
   7.500   1.0372   0.02066   0.01432  -0.0457   0.5073   0.9789
   7.600   1.0557   0.02067   0.01433  -0.0472   0.5048   0.9801
   7.700   1.0765   0.02063   0.01425  -0.0490   0.5025   0.9810
   7.800   1.0983   0.02058   0.01416  -0.0510   0.5005   0.9816
   7.900   1.1211   0.02052   0.01404  -0.0530   0.4984   0.9819
   8.000   1.1305   0.02080   0.01439  -0.0534   0.4955   0.9857
   8.100   1.1361   0.02104   0.01469  -0.0532   0.4924   0.9908
   8.200   1.1486   0.02117   0.01485  -0.0540   0.4893   0.9942
   8.300   1.1643   0.02122   0.01491  -0.0552   0.4866   0.9967
   8.400   1.1825   0.02122   0.01488  -0.0567   0.4842   0.9985
   8.500   1.2027   0.02118   0.01480  -0.0583   0.4819   0.9995
   8.600   1.2262   0.02113   0.01468  -0.0605   0.4796   0.9993
   8.700   1.2060   0.02117   0.01475  -0.0555   0.4779   1.0000
   8.800   1.1678   0.02116   0.01477  -0.0476   0.4766   1.0000
   8.900   1.1440   0.02130   0.01494  -0.0424   0.4746   1.0000
   9.000   1.1376   0.02152   0.01518  -0.0400   0.4719   1.0000
   9.100   1.1401   0.02166   0.01532  -0.0390   0.4693   1.0000
   9.200   1.1479   0.02171   0.01535  -0.0386   0.4669   1.0000
   9.300   1.1598   0.02169   0.01529  -0.0388   0.4646   1.0000
   9.400   1.1755   0.02161   0.01517  -0.0395   0.4625   1.0000
   9.500   1.1948   0.02153   0.01503  -0.0407   0.4602   1.0000
   9.600   1.1814   0.02206   0.01563  -0.0377   0.4573   1.0000
   9.700   1.1769   0.02247   0.01608  -0.0359   0.4543   1.0000
   9.800   1.1790   0.02272   0.01634  -0.0349   0.4514   1.0000
