  
       XFOIL         Version 6.99
  
 Calculated polar for: fx84                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.000  -0.7069   0.03304   0.02576  -0.1206   0.8946   0.0937
 -12.750  -0.6890   0.03242   0.02521  -0.1198   0.8877   0.0958
 -12.500  -0.6798   0.03173   0.02444  -0.1180   0.8816   0.0978
 -12.250  -0.6728   0.03091   0.02348  -0.1164   0.8741   0.1000
 -12.000  -0.6609   0.03005   0.02253  -0.1150   0.8678   0.1023
 -11.750  -0.6424   0.02946   0.02200  -0.1140   0.8630   0.1048
 -11.500  -0.6295   0.02887   0.02137  -0.1128   0.8570   0.1075
 -11.250  -0.6213   0.02822   0.02055  -0.1109   0.8500   0.1103
 -11.000  -0.6013   0.02749   0.01987  -0.1101   0.8452   0.1133
 -10.750  -0.5870   0.02699   0.01935  -0.1085   0.8409   0.1164
 -10.500  -0.5743   0.02647   0.01875  -0.1072   0.8344   0.1199
 -10.250  -0.5558   0.02581   0.01812  -0.1063   0.8289   0.1236
 -10.000  -0.5409   0.02529   0.01759  -0.1047   0.8242   0.1273
  -9.750  -0.5290   0.02484   0.01700  -0.1026   0.8200   0.1314
  -9.500  -0.5096   0.02429   0.01655  -0.1020   0.8141   0.1358
  -9.250  -0.4950   0.02389   0.01615  -0.1005   0.8086   0.1405
  -9.000  -0.4805   0.02342   0.01560  -0.0987   0.8040   0.1455
  -8.750  -0.4654   0.02296   0.01517  -0.0968   0.8003   0.1506
  -8.500  -0.4528   0.02278   0.01493  -0.0948   0.7948   0.1563
  -8.250  -0.4374   0.02238   0.01462  -0.0933   0.7891   0.1622
  -8.000  -0.4227   0.02210   0.01430  -0.0913   0.7845   0.1689
  -7.750  -0.4055   0.02162   0.01384  -0.0897   0.7808   0.1761
  -7.500  -0.3880   0.02133   0.01348  -0.0881   0.7776   0.1843
  -7.250  -0.3726   0.02108   0.01335  -0.0866   0.7712   0.1923
  -7.000  -0.3551   0.02089   0.01311  -0.0852   0.7661   0.2019
  -6.750  -0.3371   0.02045   0.01277  -0.0837   0.7621   0.2118
  -6.500  -0.3173   0.02006   0.01236  -0.0824   0.7588   0.2235
  -6.250  -0.2974   0.01983   0.01210  -0.0811   0.7553   0.2360
  -6.000  -0.2821   0.01966   0.01208  -0.0796   0.7489   0.2483
  -5.750  -0.2632   0.01940   0.01187  -0.0783   0.7443   0.2626
  -5.500  -0.2422   0.01906   0.01155  -0.0772   0.7406   0.2789
  -5.250  -0.2199   0.01870   0.01120  -0.0762   0.7376   0.2971
  -5.000  -0.1987   0.01845   0.01100  -0.0751   0.7341   0.3164
  -4.750  -0.1827   0.01842   0.01110  -0.0736   0.7277   0.3360
  -4.500  -0.1627   0.01818   0.01097  -0.0724   0.7232   0.3582
  -4.250  -0.1402   0.01785   0.01074  -0.0715   0.7197   0.3833
  -4.000  -0.1158   0.01751   0.01046  -0.0707   0.7168   0.4109
  -3.750  -0.0913   0.01732   0.01032  -0.0701   0.7136   0.4396
  -3.500  -0.0755   0.01743   0.01060  -0.0684   0.7071   0.4648
  -3.250  -0.0531   0.01733   0.01061  -0.0674   0.7026   0.4917
  -3.000  -0.0271   0.01715   0.01048  -0.0669   0.6991   0.5186
  -2.750   0.0011   0.01696   0.01031  -0.0666   0.6963   0.5445
  -2.500   0.0303   0.01689   0.01022  -0.0665   0.6935   0.5685
  -2.250   0.0460   0.01722   0.01070  -0.0647   0.6868   0.5875
  -2.000   0.0705   0.01727   0.01081  -0.0640   0.6822   0.6067
  -1.750   0.0989   0.01721   0.01075  -0.0637   0.6787   0.6249
  -1.500   0.1295   0.01713   0.01062  -0.0638   0.6759   0.6424
  -1.250   0.1607   0.01715   0.01055  -0.0640   0.6733   0.6596
  -1.000   0.1753   0.01758   0.01116  -0.0618   0.6664   0.6714
  -0.750   0.2002   0.01766   0.01124  -0.0612   0.6617   0.6856
  -0.500   0.2295   0.01767   0.01123  -0.0610   0.6582   0.6983
  -0.250   0.2613   0.01762   0.01114  -0.0612   0.6555   0.7102
   0.000   0.2906   0.01776   0.01124  -0.0611   0.6522   0.7221
   0.250   0.3044   0.01814   0.01172  -0.0588   0.6455   0.7324
   0.500   0.3298   0.01825   0.01184  -0.0581   0.6410   0.7430
   0.750   0.3594   0.01821   0.01175  -0.0581   0.6376   0.7536
   1.000   0.3921   0.01822   0.01172  -0.0583   0.6349   0.7625
   1.250   0.4129   0.01845   0.01196  -0.0572   0.6301   0.7740
   1.500   0.4289   0.01877   0.01237  -0.0549   0.6240   0.7819
   1.750   0.4548   0.01880   0.01237  -0.0544   0.6199   0.7929
   2.000   0.4855   0.01875   0.01228  -0.0544   0.6167   0.8004
   2.250   0.5197   0.01873   0.01219  -0.0549   0.6139   0.8083
   2.500   0.5274   0.01911   0.01266  -0.0519   0.6073   0.8190
   2.750   0.5466   0.01925   0.01285  -0.0500   0.6022   0.8262
   3.000   0.5752   0.01919   0.01274  -0.0499   0.5985   0.8354
   3.250   0.6092   0.01905   0.01252  -0.0506   0.5954   0.8424
   3.500   0.6240   0.01931   0.01285  -0.0482   0.5902   0.8505
   3.750   0.6357   0.01950   0.01309  -0.0457   0.5842   0.8608
   4.000   0.6601   0.01946   0.01304  -0.0447   0.5800   0.8675
   4.250   0.6943   0.01930   0.01280  -0.0455   0.5766   0.8755
   4.500   0.7164   0.01939   0.01289  -0.0444   0.5723   0.8832
   4.750   0.7175   0.01967   0.01328  -0.0400   0.5657   0.8943
   5.000   0.7404   0.01961   0.01321  -0.0390   0.5612   0.9024
   5.250   0.7762   0.01942   0.01295  -0.0400   0.5575   0.9093
   5.500   0.7981   0.01950   0.01303  -0.0390   0.5529   0.9184
   5.750   0.7959   0.01978   0.01342  -0.0342   0.5463   0.9316
   6.000   0.8285   0.01972   0.01334  -0.0350   0.5415   0.9384
   6.250   0.8747   0.01955   0.01307  -0.0380   0.5375   0.9436
   6.500   0.8924   0.01989   0.01350  -0.0370   0.5313   0.9535
   6.750   0.9155   0.02010   0.01375  -0.0369   0.5250   0.9637
   7.000   0.9678   0.01999   0.01357  -0.0413   0.5200   0.9660
   7.250   1.0118   0.02021   0.01377  -0.0448   0.5145   0.9700
   7.500   1.0372   0.02066   0.01432  -0.0457   0.5073   0.9789
   7.750   1.0873   0.02060   0.01421  -0.0500   0.5015   0.9813
   8.000   1.1305   0.02080   0.01439  -0.0534   0.4955   0.9857
   8.250   1.1562   0.02120   0.01489  -0.0546   0.4879   0.9955
   8.500   1.2027   0.02118   0.01480  -0.0583   0.4819   0.9994
   8.750   1.1872   0.02116   0.01476  -0.0516   0.4773   1.0000
   9.000   1.1376   0.02152   0.01518  -0.0400   0.4719   1.0000
   9.250   1.1533   0.02171   0.01533  -0.0387   0.4657   1.0000
   9.500   1.1948   0.02153   0.01503  -0.0407   0.4602   1.0000
   9.750   1.1771   0.02261   0.01623  -0.0353   0.4528   1.0000
  10.000   1.1964   0.02285   0.01644  -0.0345   0.4463   1.0000
  10.250   1.2230   0.02302   0.01654  -0.0346   0.4402   1.0000
  10.500   1.2155   0.02412   0.01773  -0.0309   0.4326   1.0000
  10.750   1.2402   0.02423   0.01777  -0.0307   0.4260   1.0000
  11.000   1.2443   0.02513   0.01870  -0.0284   0.4187   1.0000
