  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA4421                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.400 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.5682   0.01743   0.01086  -0.1109   0.9165   0.1223
  -9.750  -0.5450   0.01715   0.01050  -0.1100   0.9102   0.1254
  -9.500  -0.5232   0.01668   0.01008  -0.1090   0.9033   0.1287
  -9.250  -0.4958   0.01634   0.00970  -0.1089   0.8984   0.1321
  -9.000  -0.4707   0.01612   0.00940  -0.1083   0.8921   0.1352
  -8.750  -0.4484   0.01567   0.00898  -0.1074   0.8847   0.1386
  -8.500  -0.4212   0.01534   0.00863  -0.1072   0.8791   0.1421
  -8.250  -0.3964   0.01513   0.00837  -0.1065   0.8718   0.1455
  -8.000  -0.3719   0.01479   0.00800  -0.1059   0.8643   0.1489
  -7.750  -0.3446   0.01444   0.00764  -0.1057   0.8583   0.1528
  -7.500  -0.3208   0.01424   0.00743  -0.1049   0.8499   0.1565
  -7.250  -0.2942   0.01401   0.00713  -0.1045   0.8425   0.1602
  -7.000  -0.2685   0.01367   0.00681  -0.1041   0.8354   0.1648
  -6.750  -0.2439   0.01347   0.00660  -0.1034   0.8265   0.1694
  -6.500  -0.2162   0.01324   0.00630  -0.1032   0.8192   0.1745
  -6.250  -0.1920   0.01300   0.00612  -0.1025   0.8107   0.1804
  -6.000  -0.1650   0.01287   0.00592  -0.1022   0.8022   0.1868
  -5.750  -0.1392   0.01262   0.00572  -0.1017   0.7940   0.1943
  -5.500  -0.1133   0.01250   0.00556  -0.1012   0.7845   0.2019
  -5.250  -0.0863   0.01231   0.00537  -0.1009   0.7763   0.2106
  -5.000  -0.0609   0.01220   0.00526  -0.1003   0.7667   0.2196
  -4.750  -0.0342   0.01206   0.00512  -0.1000   0.7579   0.2295
  -4.500  -0.0083   0.01196   0.00500  -0.0994   0.7481   0.2390
  -4.250   0.0180   0.01185   0.00488  -0.0990   0.7383   0.2487
  -4.000   0.0442   0.01176   0.00477  -0.0985   0.7286   0.2578
  -3.750   0.0702   0.01166   0.00466  -0.0981   0.7188   0.2674
  -3.500   0.0968   0.01161   0.00456  -0.0977   0.7093   0.2762
  -3.250   0.1222   0.01149   0.00447  -0.0971   0.6991   0.2856
  -3.000   0.1489   0.01148   0.00439  -0.0967   0.6893   0.2940
  -2.750   0.1740   0.01137   0.00431  -0.0961   0.6789   0.3038
  -2.500   0.2005   0.01136   0.00425  -0.0957   0.6695   0.3137
  -2.250   0.2258   0.01127   0.00420  -0.0951   0.6597   0.3248
  -1.750   0.2773   0.01120   0.00414  -0.0941   0.6412   0.3503
  -1.500   0.3032   0.01119   0.00411  -0.0936   0.6323   0.3655
  -1.250   0.3285   0.01113   0.00411  -0.0931   0.6233   0.3840
  -1.000   0.3540   0.01111   0.00411  -0.0925   0.6149   0.4058
  -0.750   0.3796   0.01107   0.00413  -0.0920   0.6073   0.4301
  -0.500   0.4046   0.01102   0.00416  -0.0914   0.5990   0.4566
  -0.250   0.4299   0.01102   0.00419  -0.0909   0.5914   0.4858
   0.000   0.4549   0.01096   0.00425  -0.0903   0.5840   0.5174
   0.250   0.4796   0.01092   0.00431  -0.0896   0.5766   0.5511
   0.500   0.5048   0.01095   0.00438  -0.0890   0.5693   0.5887
   0.750   0.5285   0.01088   0.00448  -0.0880   0.5619   0.6268
   1.000   0.5529   0.01090   0.00457  -0.0872   0.5544   0.6625
   1.250   0.5780   0.01096   0.00468  -0.0866   0.5478   0.6941
   1.500   0.6022   0.01095   0.00479  -0.0857   0.5415   0.7236
   1.750   0.6267   0.01100   0.00489  -0.0848   0.5351   0.7519
   2.000   0.6520   0.01112   0.00502  -0.0842   0.5290   0.7803
   2.250   0.6755   0.01114   0.00516  -0.0831   0.5235   0.8102
   2.500   0.6986   0.01119   0.00532  -0.0819   0.5177   0.8402
   2.750   0.7219   0.01131   0.00547  -0.0807   0.5121   0.8699
   3.000   0.7460   0.01148   0.00565  -0.0797   0.5066   0.8981
   3.250   0.7698   0.01160   0.00583  -0.0786   0.5013   0.9242
   3.500   0.7982   0.01178   0.00601  -0.0785   0.4956   0.9453
   3.750   0.8318   0.01205   0.00620  -0.0797   0.4897   0.9623
   4.000   0.8687   0.01227   0.00643  -0.0816   0.4842   0.9758
   4.250   0.9112   0.01249   0.00665  -0.0848   0.4782   0.9837
   4.500   0.9537   0.01278   0.00687  -0.0880   0.4720   0.9914
   4.750   0.9997   0.01306   0.00711  -0.0920   0.4659   0.9963
   5.000   1.0315   0.01322   0.00729  -0.0931   0.4603   1.0000
   5.250   1.0391   0.01329   0.00733  -0.0893   0.4554   1.0000
   5.500   1.0493   0.01344   0.00740  -0.0859   0.4503   1.0000
   5.750   1.0574   0.01353   0.00751  -0.0821   0.4456   1.0000
   6.000   1.0675   0.01363   0.00763  -0.0787   0.4402   1.0000
   6.250   1.0814   0.01381   0.00776  -0.0762   0.4340   1.0000
   6.500   1.0976   0.01406   0.00796  -0.0741   0.4274   1.0000
   6.750   1.1125   0.01425   0.00819  -0.0718   0.4201   1.0000
   7.000   1.1288   0.01454   0.00842  -0.0699   0.4129   1.0000
   7.250   1.1468   0.01482   0.00870  -0.0683   0.4062   1.0000
   7.500   1.1647   0.01511   0.00900  -0.0668   0.3995   1.0000
   7.750   1.1820   0.01549   0.00932  -0.0652   0.3929   1.0000
   8.000   1.2006   0.01581   0.00968  -0.0639   0.3864   1.0000
   8.250   1.2179   0.01619   0.01006  -0.0624   0.3792   1.0000
   8.500   1.2343   0.01666   0.01048  -0.0608   0.3724   1.0000
   8.750   1.2520   0.01705   0.01092  -0.0595   0.3648   1.0000
   9.000   1.2673   0.01759   0.01141  -0.0579   0.3574   1.0000
   9.250   1.2843   0.01808   0.01193  -0.0566   0.3502   1.0000
   9.500   1.2995   0.01866   0.01250  -0.0550   0.3423   1.0000
   9.750   1.3140   0.01930   0.01312  -0.0535   0.3348   1.0000
  10.000   1.3290   0.01995   0.01378  -0.0521   0.3266   1.0000
