  
       XFOIL         Version 6.99
  
 Calculated polar for: MDES                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.5695   0.01560   0.00932  -0.1102   0.9019   0.1169
  -8.000  -0.3686   0.01355   0.00700  -0.1059   0.8470   0.1411
   0.000   0.4595   0.01042   0.00379  -0.0906   0.5654   0.4732
   2.000   0.6574   0.01037   0.00449  -0.0851   0.5132   0.7388
   4.000   0.8517   0.01121   0.00574  -0.0779   0.4708   0.9635
   6.000   1.0571   0.01271   0.00703  -0.0763   0.4269   1.0000
   8.000   1.2059   0.01498   0.00919  -0.0647   0.3732   1.0000
  10.000   1.3393   0.01925   0.01334  -0.0539   0.3124   1.0000
  11.000   1.3924   0.02258   0.01661  -0.0482   0.2819   1.0000
