  
       XFOIL         Version 6.99
  
 Calculated polar for: S813                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.6114   0.03015   0.02388  -0.0952   0.8444   0.0232
  -9.750  -0.5968   0.02839   0.02184  -0.0939   0.8405   0.0235
  -9.500  -0.5788   0.02688   0.02007  -0.0929   0.8372   0.0240
  -9.250  -0.5615   0.02601   0.01900  -0.0918   0.8334   0.0248
  -9.000  -0.5365   0.02388   0.01672  -0.0920   0.8303   0.0260
  -8.750  -0.5138   0.02263   0.01545  -0.0917   0.8272   0.0272
  -8.500  -0.4928   0.02173   0.01447  -0.0911   0.8243   0.0283
  -8.250  -0.4724   0.02092   0.01357  -0.0903   0.8214   0.0295
  -8.000  -0.4529   0.02017   0.01276  -0.0893   0.8183   0.0307
  -7.750  -0.4330   0.01969   0.01220  -0.0885   0.8153   0.0322
  -7.500  -0.4201   0.01854   0.01105  -0.0867   0.8125   0.0343
  -7.250  -0.4030   0.01794   0.01040  -0.0854   0.8100   0.0364
  -7.000  -0.3847   0.01743   0.00982  -0.0842   0.8078   0.0388
  -6.750  -0.3669   0.01688   0.00921  -0.0830   0.8053   0.0418
  -6.500  -0.3495   0.01629   0.00864  -0.0817   0.8024   0.0475
  -6.250  -0.3318   0.01566   0.00804  -0.0805   0.7996   0.0595
  -6.000  -0.3195   0.01458   0.00737  -0.0786   0.7971   0.1272
  -5.750  -0.3038   0.01376   0.00693  -0.0774   0.7950   0.2092
  -5.500  -0.2857   0.01311   0.00658  -0.0764   0.7932   0.2852
  -5.250  -0.2670   0.01255   0.00632  -0.0755   0.7913   0.3616
  -5.000  -0.2477   0.01204   0.00613  -0.0747   0.7890   0.4365
