  
       XFOIL         Version 6.99
  
 Calculated polar for: G53A15                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.000  -1.1770   0.03163   0.02423  -0.0284   1.0000   0.0985
 -12.250  -1.2125   0.02802   0.02069  -0.0104   1.0000   0.1207
 -12.000  -1.2232   0.02700   0.01976  -0.0041   1.0000   0.1356
 -11.750  -1.2343   0.02607   0.01897   0.0026   1.0000   0.1599
 -11.500  -1.2424   0.02544   0.01844   0.0089   1.0000   0.1826
 -11.250  -1.2458   0.02508   0.01807   0.0147   1.0000   0.1997
 -11.000  -1.2449   0.02479   0.01777   0.0197   1.0000   0.2133
 -10.750  -1.2395   0.02457   0.01749   0.0239   1.0000   0.2248
 -10.500  -1.2325   0.02442   0.01724   0.0278   1.0000   0.2352
 -10.250  -1.2250   0.02423   0.01707   0.0316   1.0000   0.2433
 -10.000  -1.2155   0.02411   0.01681   0.0350   1.0000   0.2514
  -9.750  -1.2053   0.02396   0.01667   0.0384   1.0000   0.2583
  -9.500  -1.1950   0.02387   0.01650   0.0416   1.0000   0.2655
  -9.250  -1.1828   0.02372   0.01625   0.0446   1.0000   0.2717
  -9.000  -1.1707   0.02364   0.01620   0.0475   1.0000   0.2777
  -8.750  -1.1585   0.02357   0.01602   0.0504   1.0000   0.2840
  -8.500  -1.1410   0.02363   0.01605   0.0522   0.9992   0.2904
  -8.250  -1.1155   0.02418   0.01659   0.0525   0.9959   0.2974
  -8.000  -1.0918   0.02476   0.01700   0.0531   0.9929   0.3043
  -7.750  -1.0614   0.02497   0.01729   0.0523   0.9867   0.3106
  -7.500  -1.0331   0.02559   0.01785   0.0521   0.9809   0.3181
  -7.250  -0.9776   0.02615   0.01836   0.0466   0.9631   0.3267
  -7.000  -0.9261   0.02665   0.01883   0.0422   0.9490   0.3359
  -6.750  -0.8924   0.02647   0.01857   0.0411   0.9375   0.3435
  -6.500  -0.8588   0.02631   0.01845   0.0401   0.9281   0.3496
  -6.250  -0.8186   0.02635   0.01839   0.0377   0.9227   0.3562
  -6.000  -0.7924   0.02595   0.01790   0.0381   0.9134   0.3613
  -5.750  -0.7494   0.02576   0.01777   0.0350   0.9091   0.3669
  -5.500  -0.7227   0.02546   0.01745   0.0353   0.9007   0.3726
  -5.000  -0.6392   0.02501   0.01696   0.0299   0.8930   0.3859
  -4.750  -0.6186   0.02457   0.01652   0.0314   0.8823   0.3914
  -4.500  -0.5780   0.02436   0.01619   0.0291   0.8790   0.3985
  -4.000  -0.5117   0.02345   0.01539   0.0272   0.8654   0.4114
  -3.750  -0.4696   0.02309   0.01494   0.0247   0.8627   0.4187
  -3.500  -0.4454   0.02250   0.01446   0.0254   0.8514   0.4248
  -3.250  -0.4027   0.02198   0.01395   0.0228   0.8480   0.4327
  -2.750  -0.3384   0.02089   0.01295   0.0215   0.8329   0.4472
  -2.500  -0.2969   0.02030   0.01236   0.0192   0.8298   0.4563
  -2.250  -0.2740   0.01974   0.01187   0.0205   0.8168   0.4634
  -1.750  -0.2109   0.01847   0.01068   0.0198   0.7990   0.4813
  -1.500  -0.1867   0.01788   0.01019   0.0209   0.7846   0.4906
  -1.250  -0.1568   0.01728   0.00963   0.0209   0.7707   0.5015
  -1.000  -0.1189   0.01652   0.00894   0.0194   0.7566   0.5146
  -0.750  -0.0728   0.01564   0.00816   0.0162   0.7415   0.5316
  -0.500  -0.0164   0.01470   0.00728   0.0109   0.7205   0.5553
  -0.250   0.0486   0.01377   0.00645   0.0037   0.6944   0.5939
   0.500   0.3619   0.01526   0.00853  -0.0436   0.6039   0.8812
   0.750   0.4049   0.01607   0.00919  -0.0463   0.5874   0.8953
   1.000   0.4482   0.01676   0.00973  -0.0492   0.5734   0.9070
