  
       XFOIL         Version 6.99
  
 Calculated polar for: G57A3                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.000  -1.2115   0.03137   0.02399  -0.0276   1.0000   0.1166
 -12.750  -1.2153   0.03045   0.02311  -0.0228   1.0000   0.1214
 -12.500  -1.2151   0.02976   0.02233  -0.0183   1.0000   0.1284
 -12.250  -1.2188   0.02900   0.02163  -0.0132   1.0000   0.1348
 -12.000  -1.2182   0.02841   0.02098  -0.0085   1.0000   0.1428
 -11.750  -1.2195   0.02791   0.02048  -0.0034   1.0000   0.1505
 -11.500  -1.2197   0.02746   0.02002   0.0016   1.0000   0.1584
 -11.250  -1.2192   0.02717   0.01963   0.0066   1.0000   0.1662
 -11.000  -1.2187   0.02682   0.01930   0.0117   1.0000   0.1727
 -10.750  -1.2148   0.02659   0.01898   0.0162   1.0000   0.1799
 -10.500  -1.2081   0.02628   0.01865   0.0201   1.0000   0.1865
 -10.250  -1.2005   0.02607   0.01840   0.0239   1.0000   0.1928
 -10.000  -1.1915   0.02584   0.01804   0.0275   1.0000   0.1991
  -9.750  -1.1805   0.02557   0.01783   0.0305   1.0000   0.2046
  -9.500  -1.1700   0.02540   0.01758   0.0338   1.0000   0.2105
  -9.250  -1.1578   0.02514   0.01725   0.0368   1.0000   0.2161
  -9.000  -1.1444   0.02492   0.01707   0.0394   1.0000   0.2210
  -8.750  -1.1319   0.02477   0.01685   0.0423   1.0000   0.2266
  -8.500  -1.1187   0.02457   0.01654   0.0451   1.0000   0.2318
  -8.250  -1.0986   0.02451   0.01656   0.0464   0.9992   0.2372
  -8.000  -1.0691   0.02506   0.01704   0.0459   0.9953   0.2438
  -7.750  -1.0428   0.02538   0.01731   0.0460   0.9928   0.2501
  -7.500  -1.0146   0.02544   0.01742   0.0457   0.9871   0.2559
  -7.250  -0.9808   0.02623   0.01813   0.0444   0.9824   0.2630
  -7.000  -0.9352   0.02614   0.01807   0.0408   0.9673   0.2707
  -6.750  -0.8897   0.02641   0.01832   0.0375   0.9531   0.2801
  -6.500  -0.8514   0.02632   0.01823   0.0355   0.9435   0.2880
  -6.250  -0.8099   0.02650   0.01843   0.0329   0.9371   0.2963
  -6.000  -0.7824   0.02618   0.01798   0.0331   0.9270   0.3027
  -5.750  -0.7342   0.02610   0.01802   0.0291   0.9233   0.3104
  -5.500  -0.7101   0.02564   0.01754   0.0300   0.9133   0.3168
  -5.250  -0.6647   0.02550   0.01738   0.0267   0.9098   0.3251
  -5.000  -0.6404   0.02501   0.01695   0.0275   0.8997   0.3318
  -4.750  -0.5972   0.02485   0.01671   0.0248   0.8959   0.3413
  -4.500  -0.5689   0.02423   0.01618   0.0249   0.8859   0.3485
  -4.250  -0.5258   0.02389   0.01584   0.0222   0.8819   0.3583
  -4.000  -0.4980   0.02329   0.01527   0.0225   0.8719   0.3664
  -3.750  -0.4564   0.02277   0.01480   0.0201   0.8672   0.3769
  -3.500  -0.4308   0.02221   0.01422   0.0210   0.8566   0.3853
  -3.250  -0.3880   0.02150   0.01362   0.0184   0.8514   0.3962
  -3.000  -0.3649   0.02091   0.01299   0.0199   0.8384   0.4055
  -2.750  -0.3195   0.02005   0.01228   0.0169   0.8334   0.4175
  -2.500  -0.2981   0.01943   0.01164   0.0187   0.8176   0.4275
  -2.250  -0.2740   0.01868   0.01102   0.0200   0.7995   0.4382
  -2.000  -0.2562   0.01814   0.01046   0.0226   0.7696   0.4486
  -1.750  -0.2089   0.01702   0.00942   0.0196   0.7447   0.4642
  -1.500  -0.1231   0.01542   0.00776   0.0090   0.7086   0.4866
  -1.250  -0.0352   0.01451   0.00661  -0.0029   0.6576   0.5152
  -1.000   0.0050   0.01435   0.00637  -0.0054   0.6225   0.5418
  -0.750   0.0295   0.01424   0.00630  -0.0048   0.5987   0.5767
  -0.500   0.0575   0.01388   0.00630  -0.0049   0.5811   0.6539
   0.000   0.2967   0.01655   0.00936  -0.0418   0.5396   0.8827
   0.250   0.3304   0.01726   0.01002  -0.0424   0.5295   0.8993
   0.500   0.3993   0.01819   0.01075  -0.0505   0.5192   0.9068
   0.750   0.4347   0.01874   0.01128  -0.0517   0.5108   0.9188
   1.000   0.4951   0.01937   0.01177  -0.0583   0.5019   0.9253
   1.250   0.5383   0.01988   0.01224  -0.0614   0.4952   0.9353
   1.500   0.5948   0.02026   0.01258  -0.0673   0.4875   0.9411
   1.750   0.6374   0.02071   0.01293  -0.0704   0.4811   0.9505
   2.000   0.6960   0.02092   0.01310  -0.0771   0.4740   0.9549
   2.250   0.7370   0.02116   0.01336  -0.0800   0.4681   0.9627
   2.500   0.7884   0.02130   0.01342  -0.0852   0.4616   0.9688
   2.750   0.8428   0.02154   0.01360  -0.0912   0.4556   0.9745
   3.000   0.8828   0.02160   0.01372  -0.0941   0.4501   0.9816
   3.250   0.9312   0.02156   0.01368  -0.0988   0.4443   0.9877
   3.500   0.9844   0.02172   0.01375  -0.1047   0.4387   0.9932
   3.750   1.0363   0.02159   0.01367  -0.1103   0.4329   0.9994
   4.000   1.0556   0.02171   0.01385  -0.1090   0.4284   1.0000
   4.250   1.0758   0.02190   0.01406  -0.1079   0.4243   1.0000
   4.500   1.1006   0.02213   0.01425  -0.1078   0.4198   1.0000
   4.750   1.1338   0.02257   0.01466  -0.1096   0.4152   1.0000
   5.000   1.1382   0.02266   0.01487  -0.1051   0.4110   1.0000
   5.250   1.1485   0.02280   0.01506  -0.1019   0.4062   1.0000
   5.500   1.1629   0.02291   0.01515  -0.0995   0.4009   1.0000
   5.750   1.1851   0.02321   0.01539  -0.0989   0.3950   1.0000
   6.000   1.1823   0.02325   0.01557  -0.0929   0.3902   1.0000
   6.250   1.1868   0.02332   0.01568  -0.0885   0.3848   1.0000
   6.500   1.2013   0.02344   0.01577  -0.0862   0.3799   1.0000
   6.750   1.2155   0.02367   0.01600  -0.0838   0.3746   1.0000
   7.000   1.2146   0.02377   0.01623  -0.0784   0.3698   1.0000
   7.250   1.2191   0.02386   0.01637  -0.0740   0.3647   1.0000
   7.500   1.2304   0.02397   0.01645  -0.0711   0.3599   1.0000
   7.750   1.2388   0.02416   0.01668  -0.0676   0.3547   1.0000
   8.000   1.2383   0.02432   0.01696  -0.0624   0.3498   1.0000
   8.250   1.2403   0.02440   0.01708  -0.0576   0.3442   1.0000
   8.500   1.2507   0.02452   0.01715  -0.0546   0.3391   1.0000
   8.750   1.2485   0.02474   0.01750  -0.0492   0.3338   1.0000
   9.000   1.2497   0.02493   0.01778  -0.0444   0.3282   1.0000
   9.250   1.2531   0.02507   0.01793  -0.0402   0.3227   1.0000
   9.500   1.2564   0.02533   0.01825  -0.0360   0.3171   1.0000
   9.750   1.2547   0.02561   0.01864  -0.0309   0.3102   1.0000
  10.000   1.2581   0.02587   0.01888  -0.0268   0.3042   1.0000
  10.250   1.2579   0.02625   0.01938  -0.0222   0.2968   1.0000
  10.500   1.2588   0.02663   0.01981  -0.0179   0.2893   1.0000
  10.750   1.2585   0.02711   0.02034  -0.0135   0.2804   1.0000
  11.000   1.2568   0.02767   0.02093  -0.0089   0.2707   1.0000
  11.250   1.2553   0.02832   0.02165  -0.0046   0.2588   1.0000
  11.500   1.2502   0.02917   0.02251   0.0001   0.2439   1.0000
  11.750   1.2422   0.03028   0.02359   0.0050   0.2256   1.0000
  12.000   1.2285   0.03182   0.02505   0.0103   0.2018   1.0000
  12.500   1.1864   0.03648   0.02944   0.0209   0.1514   1.0000
  13.000   1.1430   0.04251   0.03535   0.0291   0.1248   1.0000
