  
       XFOIL         Version 6.99
  
 Calculated polar for: T2                                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   8.000   0.9945   0.04219   0.03499   0.0085   0.1467   1.0000
   8.000   0.9945   0.04219   0.03499   0.0085   0.1467   1.0000
   8.500   0.9803   0.04500   0.03768   0.0147   0.1334   1.0000
   9.000   0.9742   0.04736   0.03993   0.0201   0.1223   1.0000
   9.200   0.9752   0.04813   0.04074   0.0220   0.1184   1.0000
   9.000   0.9742   0.04736   0.03993   0.0201   0.1223   1.0000
   9.200   0.9752   0.04813   0.04074   0.0220   0.1184   1.0000
   9.300   0.9757   0.04853   0.04114   0.0229   0.1166   1.0000
   9.400   0.9757   0.04895   0.04156   0.0238   0.1147   1.0000
   9.500   0.9757   0.04937   0.04197   0.0248   0.1130   1.0000
   9.500   0.9757   0.04937   0.04197   0.0248   0.1130   1.0000
   9.600   0.9756   0.04978   0.04234   0.0257   0.1113   1.0000
   9.800   0.9777   0.05042   0.04293   0.0277   0.1080   1.0000
   9.900   0.9783   0.05083   0.04337   0.0285   0.1064   1.0000
  12.000   1.0153   0.05771   0.05020   0.0455   0.0814   1.0000
  12.200   1.0211   0.05830   0.05072   0.0468   0.0795   1.0000
  12.400   1.0318   0.05857   0.05094   0.0481   0.0775   1.0000
  13.000   1.0432   0.06132   0.05388   0.0516   0.0730   1.0000
  13.500   1.0697   0.06245   0.05490   0.0539   0.0693   1.0000
