  
       XFOIL         Version 6.99
  
 Calculated polar for: S813                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.6114   0.03015   0.02388  -0.0952   0.8444   0.0232
  -9.900  -0.6060   0.02941   0.02303  -0.0946   0.8427   0.0233
  -9.800  -0.5996   0.02861   0.02212  -0.0941   0.8412   0.0233
  -9.700  -0.5935   0.02806   0.02146  -0.0936   0.8398   0.0237
  -9.600  -0.5861   0.02741   0.02069  -0.0933   0.8385   0.0238
  -9.500  -0.5788   0.02688   0.02007  -0.0929   0.8372   0.0240
  -9.400  -0.5711   0.02635   0.01946  -0.0926   0.8358   0.0243
  -9.300  -0.5639   0.02599   0.01903  -0.0922   0.8343   0.0246
  -9.200  -0.5570   0.02572   0.01868  -0.0917   0.8327   0.0249
  -9.100  -0.5503   0.02540   0.01829  -0.0912   0.8312   0.0252
  -9.000  -0.5365   0.02388   0.01672  -0.0920   0.8303   0.0260
  -8.900  -0.5271   0.02327   0.01612  -0.0920   0.8291   0.0266
  -8.800  -0.5182   0.02284   0.01567  -0.0918   0.8278   0.0270
  -8.700  -0.5096   0.02244   0.01525  -0.0916   0.8266   0.0275
  -8.600  -0.5013   0.02209   0.01487  -0.0913   0.8254   0.0279
  -8.500  -0.4928   0.02173   0.01447  -0.0911   0.8243   0.0283
  -8.400  -0.4845   0.02141   0.01410  -0.0907   0.8232   0.0287
  -8.300  -0.4764   0.02109   0.01376  -0.0904   0.8220   0.0292
  -8.200  -0.4684   0.02076   0.01340  -0.0901   0.8208   0.0297
  -8.100  -0.4607   0.02046   0.01308  -0.0897   0.8195   0.0303
  -8.000  -0.4529   0.02017   0.01276  -0.0893   0.8183   0.0307
